CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Municipality,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
France,2019,2020-11-21T23:14:17.13Z,STA-FR04150,SPO-FR04150_5,48.891387999999999,2.2405560000000002,Arrondissement de Nanterre,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,70.62785388,100,70.62785388,19.876757
France,2019,2020-11-21T23:14:17.13Z,STA-FR38001,SPO-FR38001_5,-20.889893000000008,55.46884,Saint-Denis,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,60.2283105,100,60.2283105,13.274867
France,2019,2020-11-21T23:14:17.13Z,STA-FR33305,SPO-FR33305_5,46.211666000000001,5.2263890000000002,Bourg-en-Bresse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.76712329,100,98.76712329,13.664447
France,2019,2020-11-21T23:14:17.13Z,STA-FR36002,SPO-FR36002_5,44.933514000000002,4.8934809999999995,Valence,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,85.91324201,100,85.91324201,16.287084
France,2019,2020-11-21T23:14:17.13Z,STA-FR01064,SPO-FR01064_5,49.125079999999997,6.1812189999999996,Metz,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.52968037,100,96.52968037,18.681563
France,2019,2020-11-21T23:14:17.13Z,STA-FR02043,SPO-FR02043_5,43.416530000000002,5.2222809999999997,Istres,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,91.23287671,100,91.23287671,21.467117
France,2019,2020-11-21T23:14:17.13Z,STA-FR03068,SPO-FR03068_5,43.126819999999995,5.9216049999999996,Toulon,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.46803653,100,95.46803653,27.531436
France,2019,2020-11-21T23:14:17.13Z,STA-FR04066,SPO-FR04066_5,48.36416599999999,2.2369439999999998,Ã‰tampes,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.47945205,100,95.47945205,13.214885
France,2019,2020-11-21T23:14:17.13Z,STA-FR06011,SPO-FR06011_5,50.322760000000002,3.3959299999999999,Valenciennes,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,88.29908676,100,88.29908676,18.361939
France,2019,2020-11-21T23:14:17.13Z,STA-FR07051,SPO-FR07051_5,45.768999999999998,3.1549999999999998,Clermont-Ferrand,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.66438356,100,98.66438356,13.294562
France,2019,2020-11-21T23:14:17.13Z,STA-FR12020,SPO-FR12020_5,43.630280000000006,0.17972199999999999,Auch,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.65296804,100,98.65296804,10.536519
France,2019,2020-11-21T23:14:17.13Z,STA-FR18042,SPO-FR18042_5,49.851334000000001,3.2839999999999998,Saint-Quentin,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.11187215,100,97.11187215,17.564405
France,2019,2020-11-21T23:14:17.13Z,STA-FR19017,SPO-FR19017_5,48.089649999999992,-1.6591100000000001,Quartiers Sud-Est,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.43607306,100,98.43607306,13.451582
France,2019,2020-11-21T23:14:17.13Z,STA-FR24036,SPO-FR24036_5,43.702075999999991,7.2862559999999998,Nice,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.15753425,100,97.15753425,19.991375
France,2019,2020-11-21T23:14:17.13Z,STA-FR31021,SPO-FR31021_5,43.376274000000009,-0.53819200000000011,Pau,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.49086758,100,95.49086758,13.846037
France,2019,2020-11-21T23:14:17.13Z,STA-FR33113,SPO-FR33113_5,45.209366000000003,6.4803259999999989,Saint-Jean-de-Maurienne,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.48173516,100,98.48173516,11.37786
France,2019,2020-11-21T23:14:17.13Z,STA-FR39014,SPO-FR39014_5,14.468864999999994,-60.927382999999999,Le Marin,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.89954338,100,97.89954338,21.739447
France,2019,2020-11-21T23:14:17.13Z,STA-FR20048,SPO-FR20048_5,45.753299999999996,5.0721999999999996,Lyon,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,87.60273973,100,87.60273973,14.864816
France,2019,2020-11-21T23:14:17.13Z,STA-FR29424,SPO-FR29424_5,45.420089999999995,4.3954219999999999,Saint-Ã‰tienne,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,99.07534247,100,99.07534247,12.965583
France,2019,2020-11-21T23:14:17.13Z,STA-FR10028,SPO-FR10028_5,50.981059999999992,2.14317,Dunkerque,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,83.02511416,100,83.02511416,22.18383
France,2019,2020-11-21T23:14:17.13Z,STA-FR15043,SPO-FR15043_5,45.161900000000003,5.7355999999999998,Grenoble,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.2283105,100,95.2283105,17.108091
France,2019,2020-11-21T23:14:17.13Z,STA-FR20062,SPO-FR20062_5,45.75773199999999,4.8542139999999989,Lyon,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.91780822,100,96.91780822,18.802661
France,2019,2020-11-21T23:14:17.13Z,STA-FR34041,SPO-FR34041_5,48.444423999999998,1.5101469999999999,Chartres,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.99543379,100,98.99543379,14.642273
France,2019,2020-11-21T23:14:17.13Z,STA-FR40006,SPO-FR40006_5,5.1642479999999873,-52.64649,Arrondissement de Cayenne,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,80.51369863,100,80.51369863,21.049354
France,2019,2020-11-21T23:14:17.13Z,STA-FR21050,SPO-FR21050_5,48.645000000000003,-0.45833299999999999,Argentan,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.21917808,100,98.21917808,11.578835
France,2019,2020-11-21T23:14:17.13Z,STA-FR02009,SPO-FR02009_5,43.393779999999992,4.801024,Istres,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.29908676,100,98.29908676,18.042794
France,2019,2020-11-21T23:14:17.13Z,STA-FR33102,SPO-FR33102_5,45.596669999999989,5.9186110000000003,ChambÃ©ry,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.38584475,100,97.38584475,15.590376
France,2019,2020-11-21T23:14:17.13Z,STA-FR34029,SPO-FR34029_5,47.83776499999999,1.9446580000000002,OrlÃ©ans,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.42465753,100,98.42465753,11.800951
France,2019,2020-11-21T23:14:17.13Z,STA-FR38017,SPO-FR38017_5,-21.294330000000009,55.627929999999999,Saint-Pierre,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,94.7260274,100,94.7260274,15.018185
